GO;Function;Score
GO:0090398;Cellular senescence;1.00
GO:0001302;Replicative senescence;0.97
GO:0007050;Cell cycle arrest;0.96
GO:0006979;Response to oxidative stress;0.93
GO:0006974;Cellular response to DNA damage;0.92
GO:0004956;SASP - IL6 secretion;1.88
GO:0006954;Inflammatory response;1.86
GO:0030198;ECM remodeling;1.80
GO:0031099;Stem cell exhaustion;1.75
GO:0016236;Macroautophagy;0.84
GO:0031667;Response to nutrient levels;0.81
GO:0006468;Protein phosphorylation;0.89
GO:0006914;Autophagy;0.86
GO:0007568;Aging;1.85
GO:0032496;Response to toxic substance;0.76
GO:0009314;Response to radiation;0.75
GO:0034976;Endoplasmic reticulum stress;0.85
GO:0000723;Telomere maintenance;0.89
GO:0001306;Response to reactive oxygen species;0.93
GO:0006978;DNA damage checkpoint;0.91
GO:0004956;SASP - IL6 secretion;1.88
GO:0006954;Inflammatory response;1.86
GO:0030198;ECM remodeling;1.80
GO:0031099;Stem cell exhaustion;1.75
GO:0016236;Macroautophagy;0.84
GO:0031667;Response to nutrient levels;0.81
GO:0006468;Protein phosphorylation;0.89
GO:0006914;Autophagy;0.86
GO:0007568;Aging;1.85
GO:0032496;Response to toxic substance;0.76
GO:0009314;Response to radiation;0.75
GO:0034976;Endoplasmic reticulum stress;0.85
GO:0000723;Telomere maintenance;0.89
GO:0001306;Response to reactive oxygen species;0.93
GO:0006978;DNA damage checkpoint;0.91
GO:0004956;SASP - IL6 secretion;1.88
GO:0006954;Inflammatory response;1.86
GO:0030198;ECM remodeling;1.80
GO:0031099;Stem cell exhaustion;1.75
GO:0016236;Macroautophagy;0.84
GO:0031667;Response to nutrient levels;0.81
GO:0006468;Protein phosphorylation;0.89
GO:0006914;Autophagy;0.86
GO:0007568;Aging;1.85
GO:0032496;Response to toxic substance;0.76
GO:0009314;Response to radiation;0.75
GO:0034976;Endoplasmic reticulum stress;0.85
GO:0000723;Telomere maintenance;0.89
GO:0001306;Response to reactive oxygen species;0.93
GO:0006978;DNA damage checkpoint;0.91
GO:0004956;SASP - IL6 secretion;1.88
GO:0006954;Inflammatory response;1.86
GO:0030198;ECM remodeling;1.80
GO:0031099;Stem cell exhaustion;1.75
GO:0016236;Macroautophagy;0.84
GO:0031667;Response to nutrient levels;0.81
GO:0006468;Protein phosphorylation;0.89
GO:0006914;Autophagy;0.86
GO:0007568;Aging;1.85
GO:0032496;Response to toxic substance;0.76
GO:0009314;Response to radiation;0.75
GO:0034976;Endoplasmic reticulum stress;0.85
GO:0000723;Telomere maintenance;0.89
GO:0001306;Response to reactive oxygen species;0.93
GO:0006978;DNA damage checkpoint;0.91
GO:0004956;SASP - IL6 secretion;1.88
GO:0006954;Inflammatory response;1.86
GO:0030198;ECM remodeling;1.80
GO:0031099;Stem cell exhaustion;1.75
GO:0016236;Macroautophagy;0.84
GO:0031667;Response to nutrient levels;0.81
GO:0006468;Protein phosphorylation;0.89
GO:0006914;Autophagy;0.86
GO:0007568;Aging;1.85
GO:0032496;Response to toxic substance;0.76
GO:0009314;Response to radiation;0.75
GO:0034976;Endoplasmic reticulum stress;0.85
GO:0000723;Telomere maintenance;0.89
GO:0001306;Response to reactive oxygen species;0.93
GO:0006978;DNA damage checkpoint;0.91
GO:0004956;SASP - IL6 secretion;1.88
GO:0006954;Inflammatory response;1.86
GO:0030198;ECM remodeling;1.80
GO:0031099;Stem cell exhaustion;1.75
GO:0016236;Macroautophagy;0.84
GO:0031667;Response to nutrient levels;0.81
GO:0006468;Protein phosphorylation;0.89
GO:0006914;Autophagy;0.86
GO:0007568;Aging;1.85
GO:0032496;Response to toxic substance;0.76
GO:0009314;Response to radiation;0.75
GO:0034976;Endoplasmic reticulum stress;0.85
GO:0000723;Telomere maintenance;0.89
GO:0001306;Response to reactive oxygen species;0.93
GO:0006978;DNA damage checkpoint;0.91
